Index,Date: 2022.08.14-16-41-40
124,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.575 ms
125,RSSI: -54
126,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.389 ms
127,RSSI: -53
128,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=18.424 ms
129,RSSI: -54
130,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=16.773 ms
131,RSSI: -54
132,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=16.805 ms
133,RSSI: -55
134,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=18.372 ms
135,RSSI: -54
136,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=16.914 ms
137,RSSI: -54
138,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.754 ms
139,RSSI: -55
140,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.854 ms
141,RSSI: -54
142,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=22.249 ms
143,RSSI: -56
144,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.477 ms
145,RSSI: -57
146,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=18.149 ms
147,RSSI: -57
148,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.842 ms
149,RSSI: -58
150,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=18.117 ms
151,RSSI: -58
152,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.949 ms
153,RSSI: -58
154,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.322 ms
155,RSSI: -59
156,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.605 ms
157,RSSI: -59
158,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=18.322 ms
159,RSSI: -60
160,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.785 ms
161,RSSI: -60
162,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=16.480 ms
163,RSSI: -58
164,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.788 ms
165,RSSI: -58
166,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.524 ms
167,RSSI: -58
168,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.349 ms
169,RSSI: -58
170,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.638 ms
171,RSSI: -58
172,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=16.384 ms
173,RSSI: -58
174,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=18.203 ms
175,RSSI: -59
176,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.399 ms
177,RSSI: -59
178,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.028 ms
179,RSSI: -59
180,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=18.715 ms
181,RSSI: -58
182,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.275 ms
183,RSSI: -58
184,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=18.305 ms
185,RSSI: -59
186,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.376 ms
187,RSSI: -59
188,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.605 ms
189,RSSI: -59
190,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.883 ms
191,RSSI: -59
192,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=23.606 ms
193,RSSI: -59
194,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.440 ms
195,RSSI: -59
196,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=22.129 ms
197,RSSI: -60
198,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=18.340 ms
199,RSSI: -60
200,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=18.383 ms
201,RSSI: -61
202,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=18.342 ms
203,RSSI: -61
204,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=18.299 ms
205,RSSI: -62
206,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.405 ms
207,RSSI: -62
208,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.665 ms
209,RSSI: -62
210,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=16.777 ms
211,RSSI: -62
212,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=19.647 ms
213,RSSI: -62
214,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=17.808 ms
215,RSSI: -63
216,64 bytes from 8.8.8.8: icmp_seq=0 ttl=118 time=18.250 ms
